SourceCode	Source	Field3	Field4
ENGLISHJ	English, Jim, 'Chapbooks and Primers, Piety, Poetry & Classics: The Mozleys of Gainsborough', in <EM>The Mighty Engine: The Printing Press and its Impacts</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000), pp153-162	NULL	NULL
EP	Esther Potter. Information on bookbinders working in London from 1780-1840, taken from the Jaffray MSS in the British Library. Information supplied by <a href='mailto:londonbooktrades@btinternet.com'>Michael Turner </a>	NULL	NULL
ER	Eiluned Rees, <EM>Libri Walliae</EM>	NULL	NULL
ESTC	Eighteenth Century Short Title Catalogue	NULL	NULL
EVANS	EVANS	NULL	NULL
EVENDEN/FREEMAN	Evenden, Elizabeth & Freeman, Thomas. S. 'John Foxe, John Day and the Printing of 'The Book of Martyrs', in <EM>Lives in Print: Biography and the Book Trade from the Middle Ages  to the 21st Century</EM>, eds. Myers, Robin, Harris, Michael & Mandelbrote, Giles (London, 2002), pp23-54	NULL	NULL
EXCISE	EXCISE	NULL	NULL
FAIRBANK	<a name="f">Fairbank archives in Sheffield City Archives	m	NULL
FARRELL1837-8	Farrell, John, <EM>Draft Index to the Publishers' Circular 1837-8</EM>	NULL	NULL
FARRELL1839	Farrell, John <EM>Index to the Publisher's Circular 1839</EM>	NULL	NULL
FARRELL1840	Farrell, John, <EM>Draft Index to Publishers' Circular 1840</EM>	NULL	NULL
FEATHER	Feather, John, <EM>The Provincial Book Trade in Eighteenth-Century England </EM>(Cambridge, 1985)	p	John Hinks
FEATHER APPRENTICES	Feather, John, 'Country Book Trade Apprentices 1710-1760', <EM>Publishing History</EM>, VI, 1979, pp. 85-99	NULL	NULL
FEATHER NICHOLS	Nichols, John, <EM>Literary Anecdotes of the Eighteenth Century</EM> (London, 1812)	NULL	NULL
FEATHERCOUNTRY	Feather, John. 'The Country Trade in Books' in <EM>Spreading the Word: The Distribution Network of Print 1550-1850</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1990). pp165-183	NULL	NULL
FEATHERLAW1	Feather, John, 'Publishers and Politicians: The Remaking of the Law of Copyright in Britain 1775-1842. Part 1: Legal Deposit & the Battle of the Library Tax', in <EM>Publishing History 24</EM> (1988), pp49-76	NULL	NULL
FEATHERPIRATES	Feather, John, 'The Publishers and the Pirates, British Copyright Law in Theory and Practice, 1710-1775', in <EM>Publishing History 22</EM> (1987), pp5-32	NULL	NULL
FEATHERWALTER	Feather, John, 'John Walter and the Logographic Press' in <EM>Publishing History I </EM> (1977), pp92-134	NULL	NULL
FERDINAND	Ferdinand, Christine, <EM>'The Salisbury Journal</EM> 1729-1785: a study of a provincial newspaper', DPhil. Thesis, Oxford University (1990)	p	NULL
FERDINAND2	Ferdinand, Christine, 'Magdalen College and the Book trade: The Provision of Books in Oxford, 1450-1550', in <EM>The Book Trade and its Customers 1450-1900: Historical Essays for Robin Myers</EM> eds. Hunt, Arnold, Giles Mandelbrote & Alison Shell (Winchester, 1997), pp175-187	NULL	NULL
FERDINANDCY	Ferdinand, C.Y. 'Local Distribution Networks in Eighteenth Century England' in <EM>Spreading the Word: The Distribution Network of Print 1550-1850</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1990). pp131-149	NULL	NULL
FISHWICK	FISHWICK	NULL	NULL
FLEEMAN	Fleeman, J.D., 'Michael Johnson, The 'Lichfield Librarian'', in <EM>Publishing History 39 </EM> (1996), pp5-22	NULL	NULL
FOOTM	Foot, Mirjam, 'Some Bookbinders' Price lists of the Seventeenth and Eighteenth Century', in <EM>Economics of the British Booktrade 1605-1939</EM>, eds. Myers, Robin & Harris, Michael (Cambridge, 1985). pp124-175.	NULL	NULL
FOOTMM	Foot, Mirjam. M. 'Scholar-Collectors and their Bindings' in <EM>Antiquaries, Book Collectors and their Circles of Learning</EM> eds. Myers, R & Harris, M (Winchester, 1996) pp27-43.	NULL	NULL
FORDJ	Ford, John, 'Ackermann Imprints and Publications', in <EM>Maps and Prints: Aspects of English Booktrade</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1984), pp109-124.	NULL	NULL
FORSTER ETAL	Forster, Geoffrey; Hamilton, Alice; Hoare, Peter & Robinson, Elaine, <EM>'A Very Good Public Library': Early Years of the Leeds Library</EM> (Newcastle, 2001)	NULL	NULL
FOWLERLEIC	Fowler, J. <EM>A Leicester Directory 1815</EM> (Leicester, 1815)	NULL	NULL
FOXON	Foxon, David, <EM>English Verse 1701-1750 </EM>(Cambridge, 1975)	p	NULL
FREARSON	Frearson, Michael, 'The Distribution and Readership of London corantos in the 1620s', in <EM>Serial and Their Readers 1620-1914</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1993), pp1-25	NULL	NULL
FREEMANTLE	Freemantle Collection 159 (Sheffield Archives) and Freemantle, W.T.,<EM> A Bibliography of Sheffield and Vicinity</EM>, section 1 to end 1700 (Sheffield, 1911)	mp	NULL
Frostick	Frostick, R. <em>The printed plans of Norwich 1558-1840</em> (Norwich, 2003)	NULL	NULL
FUDERER	Fuderer, Laura Sue, <EM>Eighteenth-Century British Women in Print: catalogue of an exhibition </EM>(Notre Dame, 1995)	p	NULL
FURBANK/OWENS	Furbank, P N & Owens, W R, 'Documents and Sources on the Attribution of Periodicals and Newspapers to Daniel Defoe', in <EM>Publishing History 40 </EM> (1996), pp83-98.	NULL	NULL
GADD	Gadd, Ian, 'Hunting Down John Wolfe for the New DNB', in <EM>Lives in Print: Biography and the Book Trade from the Middle Ages to the 21st Century</EM>, eds. Myers, Robin; Harris, Michael & Mandelbrote, Giles (London, 2002). pp192-201	NULL	NULL
GALES & MARTIN	<a name="g">Gales, Joseph and Martin, David, <EM>Directory of Sheffield</EM> (Sheffield, 1787)	d	NULL
GAVIN	John Gavin	NULL	NULL
GAVIN2	Gavin, John, 'Cumbrian Literary Institutions: Cartmel & Furness to 1900', in <EM>Images and Texts: Thier Production and Distribution in the 18th and 19th Century</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1997), pp53-64	NULL	NULL
GAVIN3	Gavin, John, 'Literary Institutions in the Lake Counties Part IV: Catalogues', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp95-106	NULL	NULL
GEE	Gee, Stacey, 'The Printers, Stationers and Bookbinders of York Before 1557', in <EM> Transactions of the Cambridge Bibliographical Society</EM> Vol XII Part 1 (2000) pp27-54	NULL	NULL
GEES	Gee, Stacey, 'The Coming of Print to York c1490-1550', in <EM>The Mighty Engine: The Printing Press and its Impact</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000), pp79-88	NULL	NULL
GELL	Gell, R., <EM>New General and Commercial Directory of Sheffield & its Vicinity</EM> (Manchester, 1825)	d	NULL
GELL & BENNETT	Gell, R. and Bennett, R., <EM>Sheffield General & Commercial Directory </EM>(Sheffield, 1821)	d	NULL
GEN	(Unknown)	NULL	NULL
GENT	Elizabeth Gent	NULL	NULL
GILBERTHORPE	Gilberthorpe, Enid C., <EM>Book Printing at Sheffield in the Eighteenth Century</EM> (Sheffield City Libraries, Local Studies Leaflet, 1967; reprd. 1974)	p	NULL
GJ	Information from Graham Jefcoate's study of German members of the book trade in London	u	Graham Jefcoate
GLEN	Glen, Robert, <EM>Stockport Printers and Booksellers, 1771-1830</EM>	p	NULL
GLO-CRO	Goucestershire County Record Office, notices given to the Clerk of the Peace of the intention to use printing presses pursuant to Geo III c.79 (Q/RP1)	r	NULL
GLOVER	Glover, Stephen, <EM>Directory of the County of Derby, taken during the years 1827-9 </EM>(Derby, 1829)	d	NULL
GOODALL	Goodall, Michael H., information from Worshipful Company of Makers of Playing Cards (Minute Books and other records)	NULL	NULL
GOULDEN	Richard Goulden's information for Kent, from directories and other local records.	u	Richard Goulden
GOULDEN2	Goulden, R. J. 'False Imprints and the Bridger Specimen Books', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp189-196	NULL	NULL
GOULDENHW	Goulden, Richard, <EM>The Ornament Stock of Henry Woodfall, 1719-1747</EM> (Bibliographical Society Occasional Paper No.3, 1988)	p	NULL
GOULDENKENT	Goulden, R. J. 'Print Culture in the Kentish Weald', in <EM>The Reach of Print: Making, Selling and Using Books</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1998), pp 1-20	NULL	NULL
GRAY	Gray, Valerie, 'Charles Knight and the Society for the Diffusion of Useful Knowledge: A Special Relationship (1827-46)', in <EM>Publishing History 53 (2003), pp23-74	NULL	NULL
GREEN	Green, Ian , ''Puritan Prayer Books' and 'Geneva Bibles': An Episode in Elizabethan Publishing', in <EM>Transactions of the Cambridge Bibliographical Society</EM> Vol XI Part 3 (1998) pp313-349	NULL	NULL
GREG	Greg, W.W., <EM>A Bibliography of the English Printed Drama to the Restoration</EM> (London, 1957) vol.3, pp.1488-1557	p	NULL
GREWCOCK	Grewcock, Craig E., 'The Leicester Mechanics' Institution 1833-1870', in <EM>The Adaptation of Change</EM>, ed. D. Williams (Leicester, 1980)	p	John Hinks
GRIFFITHSDN	Griffiths, David. N. 'Print, Privilege and Piracy in the Book of Common Prayer', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp73-84	NULL	NULL
GRUBST	'The Minute Book of the Partners in the 'Grub st Journal'', in <EM>Publishing History IV</EM> (1978), pp49-94	NULL	NULL
GRUFFYDD	Gruffydd, R. Geraint, 'Chapter 4: The First Printed Books, 1546-1604', in <EM>A Nation and its Books: A History of the Book in Wales</EM>, eds. Jones, Philip Henry & Eiluned Rees (National Library of Wales, 1998), pp55-65	NULL	NULL
HALLAM	<a name="h">Personal data for Suffolk	u	Henry Hallam
HALLDJ	Hall, David J ''The Fiery Tryal of Their Infallible Examination': Self control in the Regulation of Quaker Publishing in England from the 1670s to the mid Nineteenth Century' pp59-86 in <EM>Censorship and the Control of Print in England and France 1600-1910</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1992).	NULL	NULL
HAM-CRO	Registrations under the Seditious Societies Act 1799, Hampshire Record Office (Ref Q16/6, items 1-41)	r	NULL
HANKS	Data for Staffordshire bookbinders	u	Peter Hanks
HARDINGV	Harding, Vanessa, 'Mortality and the Mental Map of London: Richard Smith's Obituary', in <EM>Medicine, Mortality and the Book Trade</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1998), pp49-71.	NULL	NULL
HARPER	Information from Berry Harper for Sussex based on materials from\n<BR>Brighton Reference Library<BR>Hove Reference Library<BR>Hove<BR>Hastings Reference Library	NULL	NULL
HARRISM	Harris, Michael, 'London Guidebooks Before 1800' in <EM>Maps and Prints: Aspects of the English Booktrade</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1984), pp31-66.	NULL	NULL
HARRISM2	Harris, Michael, 'Periodicals and the Book Trade', in <EM>Development of the English Booktrade 1700-1899</EM>. eds. Myers, Robin & Harris, Michael (Oxford, 1981), pp66-94.	NULL	NULL
HARRISM3	Harris, Michael, 'Moses Pitt and Insolvency in the London Book Trade in the Late-Seventeenth Century', in <EM>Economics of the British Book Trade 1605-1939</EM>, eds. Myers, Robin & Harris, Michael (Cambridge, 1985). pp176-208.	NULL	NULL
HARRISM4	Harris, Michael, 'Newspaper Advertising for Book auctions before 1700', in <EM>Under the Hammer: Book Auctions Since the Seventeenth Century</EM>, eds. Myers, Robin & Michael Harris (London, 2001), pp1-14	NULL	NULL
HARRISM5	Harris, Michael, 'Trials and Criminal Biographies: A Case Study in Distribution', in <EM>Sale and Distribution of Books from 1700</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1982),  pp1-36.	NULL	NULL
HARRISM6	Harris, Michael, 'The Alternative Book Trade in Mid-Eighteenth Century London', in <EM>Fakes & Frauds: Varieties of Deception in Print and Manuscripts</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1989), pp47-69	NULL	NULL
HARRISM7	Harris, Michael, 'Print in Neighbourhood Commerce: The Case of Carter Lane', in <EM>The London Book Trade</EM>, eds. Myers, Robin: Harris, Michael & Mandelbrote, Giles (London, 2003), pp45-69	NULL	NULL
HARRISM8	Harris, Michael, 'Review Article: Astrology, Almanacks and Booksellers', in <EM>Publishing History 8 </EM> (1980), pp87-104.	NULL	NULL
HARRISM9	Harris, Michael, 'Scratching the Surface: Engravers, Printsellers and the London Book Trade in the mid 18th century', in <EM>The Book Trade and its Customers 1450-1900: Historical Essays for Robin Myers</EM>, eds. Hunt, Arnold, Giles Mandelbrote & Alison Shell (Winchester, 1997)	NULL	NULL
Harrison	Information from David Harrison	NULL	NULL
HARTOPP	Hartopp, Henry, <EM>Roll of the Mayors of the Borough and Lord Mayors of the City of Leicester 1209-1935</EM> (Leicester, [1936])	p	John Hinks
HBTN1	<EM>Unlawful Societies Act 1799: Printers' Registrations in West Yorkshire 1799-1867</EM>, History of the Book Trade in the North (1994)	NULL	NULL
HENRYM	Henry, Michael, 'The Nineteenth-Century Printing Apprenticeship: Elements of Change', in <EM>Aspects of Printing</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1987), pp90-113.	NULL	NULL
HERRMANN	Herrmann, Frank 'The Emergence of the Book Auctioneer as a Professional' pp1-14 in <EM>Property of a Gentleman: The Formation, Organisation and Dispersal of the Private Library 1620-1920</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1991).	NULL	NULL
HETET	Hetet, John, 'The Wardens' Accounts of the Stationers' Company, 1663-79', in <EM>Economics of the British Booktrade 1605-1939</EM>, eds. Myers, Robin & Harris, Michael (Cambridge, 1985). pp32-59.	NULL	NULL
HFR	Records for Herefordshire etc.	u	John Buchanan-Brown
HFRC	Hereford Cathedral Library archive	m	John Buchanan-Brown
HFRD	Herefordshire directories [17]92, [18]22 etc.	d	John Buchanan-Brown
HFRJ	<EM>British Chronicle</EM> continued as <EM>Hereford Journal</EM> (sometimes with issue number)	n	John Buchanan-Brown
HFRJ(S)	<EM>Hereford Journal </EM>or <EM>Smith's Weekly News</EM>	n	John Buchanan-Brown
HFRL	Hereford City Library local collections	m	John Buchanan-Brown
HFRM	Minute book of the Haberdashers' Company (in Hereford City Library local collections)	m	John Buchanan-Brown
HFRR	Herefordshire County Record Office Archive	r	John Buchanan-Brown
HFRT	Morgan, F.C., 'Herefordshire printers and booksellers', <EM>Transactions of the Woolhope Field Naturalists' Club </EM>(1939-41), pp.106-27; & supplementary notes (Hereford)	p	John Buchanan-Brown
HFT-CRO	Registrations under the Seditious Societies Act 1799, Hertfordshire Record Office (Ref QSMISC 2690A-2720 & LIB SR 127/1 & 167/29)	r	NULL
HINGLEYS	Hingley, Sheila, 'Elham Parish Library', in <EM>The Reach of Print: Making, Selling and Using Books</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1998), pp175-190	NULL	NULL
HINKSJ	Hinks, John, 'Some Radical Printers and Booksellers of Leicester c1790-1850', in <EM>The Mighty Engine: The Printing Press and its Impact</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000), pp175-184.	NULL	NULL
HINKSJ2	Hinks, John, 'The Beginnings of the Book Trade in Leicester', in <EM>The Moving Market: Continuality and Change in the Book Trade</EM>, eds. Isaac, Peter & McKay, Barry (Oak Knoll, 2001). pp27-38	NULL	NULL
HINKSJ3	Hinks, John, 'John Gregory and the 'Leicester Journal'', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp85-94	NULL	NULL
HODGSON & BLAGDEN	Hodgson, N. and Cyprian Blagden (ed.), <EM>The Notebook of Thomas Bennet and Henry Clements (1686-1719) with some aspects of book trade practice </EM>(Oxford, 1953)	p	NULL
HODSON1/2	Hodson, Donald, <EM>County Atlases of the British Isles Published after 1703</EM>, vols. 1 & 2 (Welwyn, 1984 & 1989)	p	NULL
HODSONWH	Hodson, William Henry, <EM>Hodson's Booksellers', Publishers' and Stationers' Directory for London and Country </EM>(London, 1855)	d	NULL
HOLDEN	<EM>Holden's Triennial Directory</EM> Unspecified (London: W. Holden)	NULL	NULL
HOLDEN02	<EM>Holden's Triennial Directory, 1802, 1803, & 1804</EM>, 3rd edn (London: W. Holden [1802])	d	NULL
HOLDEN05	<EM>Holden's Triennial Directory, 1805, 1806, & 1807</EM>, 4th edn (London: W. Holden [1805])	d	NULL
HOLDEN09	<EM>Holden's Triennial Directory, 1809, 1810, & 1811</EM>, 5th edn (London: J. Davenport [1809])	d	NULL
HOLDEN11	<EM>Holden's Annual London & Country Directory, 1811</EM> (London: W. Holden, [1811])	d	NULL
HOLMESM	Holmes, Martin, 'Samuel Gamidge: Bookseller in Worcester (c1755-1777)', in <EM>Images and Texts: Their Production and Distribution in the 18th and 19th Century </EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1997), pp11-52	NULL	NULL
HORDENJ	Horden, John, ''In the Savoy': John Nutt and his Family', in <EM>Publishing History 24</EM> (1988), pp5-26	NULL	NULL
HORNERC	Horner, Craig, ''That Great Fountain of Truth, Good Manners and What Not': Competing for the Hearts and Minds of Newspaper Readers in Manchester, 1730-60', in <EM>Printing and the Book in Manchester 1700-1850</EM>, eds. Cass, Eddie & Garratt, Morris (Otley, 2001), 51-70	NULL	NULL
HOUNSLOWD	Hounslow, David, 'A Moving Market: The Influence of London Books of Street Cries in Provincial Editions to c1830', in <EM>The Moving Market: Continuality and Change in the Book</EM>, eds. Isaac, Peter & McKay, Barry (Oak Knoll, 2001). pp39-50	NULL	NULL
HOUNSLOWD2	Hounslow, David, 'From George III to Queen Victoria: A Provincial Family and their Books', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp61-72	NULL	NULL
HOWE	Howe, Ellic, <EM>A List of London Bookbinders 1648-1815 </EM>(London, 1950)	p	NULL
HOWECO	Howe, Ellic, <EM>The London Compositor: Documents relating to Wages, Working Conditions and Customs of the London Printing Trade 1785-1900 </EM>(London, 1947)	p	NULL
HUDSON	Hudson, A. Lollards and their books, 1985, p53.	NULL	NULL
HUGHES	Hughes, M.L.H., 'Light Industry in Newcastle under Lyme in the Second Half of the Nineteenth Century', unpublished dissertation, University of Keele (1981)	p	Vivienne
Humphreys	Arthur Humphreys, <EM>Piccadilly Bookmen: Memorials of the House of Hatchard</EM> (London: Hatchards, 1893)	NULL	NULL
HUMPHRIES	Humphries, Charles and William C. Smith, <EM>Music Publishing in the British Isles from the Earliest Times to the Middle of the Nineteenth Century </EM>(London, 1954)	p	NULL
HUNNISETT	Hunnisett, Basil, <EM>An Illustrated Dictionary of British Steel Engravers </EM>(Scolar Press, 1989)	p	NULL
HUNT	Hunt, C.J., <EM>The Book Trade in Northumberland and Durham to 1860 </EM>(Newcastle upon Tyne, 1975)	p	NULL
HUNT1849	<EM>Hunt & Co's Directory for Gloucester, Bristol & Welsh Towns </EM>  (Newport, 1849)	NULL	NULL
HUNT1850	Hunt & co, <EM>Directory for Bristol and South Wales</EM> (London, 1850)	NULL	NULL
HUNT1851	Hunt & co <EM>Directory of Dorset, Hants, Wilts, Somerset</EM> (London, 1851)	NULL	NULL
HUNTA	Hunt, Arnold, 'Book Trade Patents, 1603-1640', in <EM>The Book Trade and its customers 1450-1900: Historical Essays for Robin Myers</EM>, eds. Hunt, Arnold, Giles Mandelbrote & Alison Shell (Winchester, 1997)	NULL	NULL
HUNTER	Entry for James DAVIES, Birmingham???	u	NULL
HUTTAR	Huttar, Charles A, 'Wyatt and the Several Editions of 'The Court of Venus'', in <EM>Studies in Bibliography 19</EM> (1966), pp181-195	NULL	NULL
HYDER	Hyde, Ralph, 'Robert Havell junior, Artist and Aquatinter', in <EM>Maps and Prints: Aspects of the English Booktrade</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1984). pp81-108	NULL	NULL
HYETTAUS	Hyett, Francis Adams & Roland Austin, <EM>Supplement to the Bibliographer's Manual of Gloucestershire Literature </EM>(Gloucester, 1915)	p	NULL
HYETTBAZ	Hyett, Francis Adams & Rev. William Bazeley, <EM>The Bibliographer's Manual of Gloucestershire Literature </EM>(Gloucester, 1896)	p	NULL
Ibm	<a name="i">Information for Bristol from <EM>Matthews Bristol Directory</EM>	d	Ian Michael
IBsk	Information for Bristol from <EM>Sketchley's Bristol Directory</EM>	d	Ian Michael
IM.EWP7	Maxted, Ian, <EM>The Devon Book Trades: a biographical dictionary</EM> (Exeter Working Paper No. 7)	p	NULL
IM.EWP8	Maxted, Ian, <EM>The British Book Trades 1775-1787: an index to insurance policies </EM>(Exeter Working Paper No. 8)	p	NULL
IM.EWP9	Maxted, Ian, <EM>Newspaper Readership in South West England: an analysis of the </EM>Flindell's Western Luminary <EM>subscription list of 1815 </EM>(Exeter Working paper No. 9)	p	NULL
IMAGO MUNDI	<EM>Imago Mundi</EM>, The Journal of the International Society for the History of Cartography	p	NULL
IRI	Inland Revenue ledgers of payment of stamp duty on apprentice indentures in Public Record Office, Kew (with volume no. and page, e.g. IRI63/7=vol.63, p.7)	m	NULL
ISAAC/MCKAY1	Isaac, Peter & McKay, Barry, eds.<EM>The Moving Market: Continuality and Change in the Book Trade</EM> (Delaware, 2001)	NULL	NULL
ISAAC/MCKAY2	Isaac, Peter & McKay, Barry, eds. <EM>The Reach of Print: Making, Selling and Using Books</EM> (Winchester, 1998)	NULL	NULL
ISAAC/MCKAY3	Isaac, Peter & McKay, Barry, eds. <EM>The Human Face of the Book Trade: Print Culture and its Creator</EM> (Winchester, 1999)	NULL	NULL
ISAAC/MCKAY4	Isaac, Peter & McKay, Barry, eds.<EM>Images & Texts: Their Production and Distribution in the Eighteenth and Nineteenth Centuries</EM> (Winchester, 1997) 	NULL	NULL
ISAAC3	Isaac, Peter, 'Bulmer's Influential Supporters: An Inquiry Still in Progress', in <EM>Aspects of Printing from 1600-1700</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1987), pp49-68.	NULL	NULL
ISAAC4	Isaac, Peter, 'The English Provincial Book Trade to 1800', in <EM>Printing and the Book in Manchester 1700-1850</EM>, eds. Cass, Eddie & Garratt, Morris (Otley, 2001), pp7-27	NULL	NULL
ISAAC5	Isaac, Peter, 'William Davison of Alnwick and Provincial Publishing in his Time', in <EM>Publishing History 40</EM> (1996), pp6-32	NULL	NULL
ISAAC6	Isaac, Peter, 'Maria Eliza Rundell and her Publisher', in 'Publishing History 43' (1998), pp17-32	NULL	NULL
ISAACP	Isaac, Peter, 'Pills and Prints', in <EM>Medicine, Mortality and the Book Trade</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1998), pp25-47	NULL	NULL
ISAACP2	Isaac, Peter, 'Charles Elliott and the  Provincial Booktrade', in <EM>The Human Face of the Book Trade: Print Culture and its Creators</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1999), pp97-116.	NULL	NULL
ISAACSIX	Isaac, Peter, ed. </EM><EM>Six Centuries of the Provincial Book Trade in Britain</EM> (Winchester, 1990)	NULL	NULL
ISSIT	Issit, John, 'The Natural History of a Text Book', in <EM>Publishing History 47</EM> (2000), pp5-30	NULL	NULL
JAL	<a name="j">Alan Longbottom, Unspecified	NULL	NULL
JAL/BATTLE	JAL/BATTLE	NULL	NULL
JAL/BC	Brotherton Collection	NULL	NULL
JAL/BWK	Borthwick	NULL	NULL
JAL/CHAL	Chalmers Biographical Dictionary	NULL	NULL
JAL/CLOHen4	Close Rolls, reign of Henry IV	m	Alan Longbottom
JAL/HARL	<EM>Harleian Society </EM>volumes	p	Alan Longbottom
JAL/HARLREG	<EM>Harleian Society Register Series</EM>	p	Alan Longbottom
JAL/INDXLIB	<EM>British Record Society </EM>Index Library Series	p	Alan Longbottom
JAL/LG	London Gazette	NULL	NULL
JAL/LL	Leeds Subscription Library	NULL	NULL
JAL/NICH1	Nicholson's	NULL	NULL
JAL/PC1542-7	Acts of the Privy Council	p	Alan Longbottom
JAL/QUA	Quaker Bibliography (Smith)	NULL	NULL
JAL/SR	<EM>Surrey Record [?Society] Series</EM>	p	Alan Longbottom
JAL/TH	<EM>Thoroton Society</EM>	p	Alan Longbottom
JAL/WHITE 1826	White's 1826 Hull	NULL	NULL
JAL/WORCPROB	<EM>Worcester Record Series</EM>	p	Alan Longbottom
JAL/WORQS	<EM>Worcester Record Series</EM> [?see JAL/WORCPROB. ??]	p	Alan Longbottom
JAL/YASRS	<EM>Yorkshire Archaeological Society Record Series </EM>(with vol. no. where appropriate)	p	Alan Longbottom
JAMES	James, M R, Catalogue of Library of Leicester Abbey	NULL	NULL
JAY	Information from Susie Jay for Somerset	u	Susie Jay
JBBHER	Information from pamphlets in Hereford Cathedral Library	u	John Buchanan-Brown
JBM	Morris, John B., <EM>Provincial Printing and Publishing in Great Britain: an annotated catalogue of a collection of books and related material </EM>(York, n.d.)	p	NULL
JENKINS	Jenkins, W.A., 'The Economic and Social History of Leicester: 1660 to 1835' (London University M.A. thesis, 1952)	p	John Hinks
JH	Information on broadside printers	u	James Hepburn
JM1	John Murray I's letter-books, indexed by William Zachs	m	NULL
JOHNSON	Johnson, J., <EM>Typographia, or the Printer's Instructor </EM>(London, 1824), vol.ii, pp.649-52	p	NULL
JOHNSTONE	<EM>Johnstone's London Commercial Guide and Street Directory </EM>(London: D. Johnstone, 1817)	d	NULL
JONES	Jones, Brian, <EM>Index of York Oaths of Allegiance 1723 </EM>(York City Archives, YCA F12)	p	NULL
JONESA	Jones, Aled, 'Constructing the Readership in 19th Century Wales', in <EM>Serials and Their Readers 1620-1914</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1993), pp145-162	NULL	NULL
JONESPHENRY	Jones, Philip Henry, 'The Welsh Wesleyan Bookroom, 1824-8: A New Set of Printing Accounts', in <EM>The Reach of Print: Making, Selling and Using Books</EM><EM></EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1998), pp37-49	NULL	NULL
JONESPHENRY2	Jones, Philip Henry, 'Thomas Gee Senior', in <EM> Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp175-188	NULL	NULL
JONESPHENRY3	Jones, Philip Henry, 'Wales and the Stationers' Company', in <EM>The Stationers' Company and the Book Trade 1550-1990</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1997), pp185-201	NULL	NULL
JPF	Feather, John, 'John Clay of Daventry: the business of an eighteenth-century stationer', <EM>Studies in Bibliography</EM>, vol. 37 (1984), pp.198-209	p	NULL
JSE	Information for Lincolnshire, based on the following directories:<BR> \n            &nbsp; KELLY 1849, 1855 & 1861<BR> &nbsp; PIGOT 1828, 1834/5 & 1841<BR> \n            &nbsp; SLATER 1849<BR> &nbsp; WHITE 1826, 1831, 1842 & 1856<BR> &nbsp;<EM> \n            Hagar & Co's Commercial Directory of the Market Towns in Lincolnshireâ€¦ \n            1849&nbsp;</EM>	d	J.S. English
JSEPR	Information from parish records transcript for Gainsborough	m	J.S.English
KAM	<a name="k">Keith Manley	NULL	NULL
KASSLER	Kassler, Jamie Croy, <EM>The Science of Music in Britain, 1714-1839: a catalogue of writings, lectures and inventions </EM>(New York & London, 1979), 2 vols.	p	NULL
KAUFMAN	Kaufman, Paul, <EM>The Community Library: A Chapter in English Social history</EM> (Transactions of the American Philological society. Ns 57, part 7 1967).	NULL	NULL
KELLY	<EM>Kelly's Post Office Directory </EM>of various counties with date	d	NULL
KEN-CRO	Registrations under the Seditious Societies Act 1799, Kent Record Office (Ref Q/RSL/..)	r	NULL
KENNEDYJD	Kennedy, Joyce Deveau, 'Defoe's 'An Essay Upon Projects': The Order of Issues', in <EM>Studies in Bibliography 23</EM> (1970), pp170-175.	NULL	NULL
